1974  530 2060  280  960 1770 2040 3280  240  580  740  130 1260 13870
1975  410 1820 5070 4110 2470 1030  740  150  330  590  190  520 17430
1976  590  390  900 3660 3150 5360 3950 2840 1750 1950 4830 3910 33280
1977 6210 2070 1280 1640 2910 4130 1480 1150  300  420 2630 2530 26750
1978 3320 3550 3630 3320 1090 1400 1250  610   70  380  710  460 19790
1979 1790 1530 3810 3410 4380 1710  900 1280 1180 1900  890 1570 24350
1980 1460 1890 1830 1660 3810 2310 1980 1090   90  220 1560 2890 20790
1981 1440 2890  800 3530 3650 2820 1200  100  570 1790  120  650 19560
1982  470  270 1270 4790 2340  930 1780 2530 2040 3220 4290 2810 26740
1983 1690 1260  320 3460 4820 4080 2520  480   80  680  390   37 19817
1984 1160 1300  220 3150 2910 2310  700  180  160   90  320  110 12610
1985  610   70  840  370  860 1756 1060 1630  160  360 2050  850 10616
1986 1280 1650 2240 1550 3050 3160 2360 1090 3420  810  611  366 21587
1987 8570 4590 4040 4690 3500 2480 4600 1720 2040 4400 1940 3660 46230
1988 2870 1860 3290 4140 2520  120  220    0  170   10   50  130 15380
1989   37   80 1750 2122 3346  324 1870  188  232  112  494  146 10701
1990  390 4795 4558 1884  414 2135  -10  -10  -10  -10  -10  -10   -10
1991  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1992  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1993  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1994  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
   3559  500-15750    0                                 19741994   3559        0
1974  -10  -10  -10  -10  -10 1661 2463  442  874  484  726  863   -10
1975  926  945 3237 3107 1503  798  770  259  376  824  674  508 13927
1976  471  466 1429 2665 2694 4234 3025 2324 1991 2225 3664 2630 27818
1977 3168 1749 1410 1679 2439 2500 1636  795  477  905 1903 1533 20194
