1974 3010 1080 2540 2560 2480 3630 3660 3130 2410 4850 4790 3380 37520
1975 4950  300  790 2730 2310 2710 2130 3020 2860 3220 1720 2780 29520
1976 1870  810 2230 1720 3180 3380 2900 4140 3410  660 2260 2530 29090
1977 1000  550  610  230 2630 1900 4370 3550 4760 1460 2410 2960 26430
1978 1070 1330  520 1370 1240 3270 2200 4700 4870 4600 2820 2280 30270
1979  990  800 1790 1010 2240 5350 3670 4970 2440 3090 1860 3400 31610
1980  590 1170 1630 1960 2680 3430 4530 2420 3230 3410 1830 3690 30570
1981 3280 2030  730  280 1280 2740 4710 3460 4830 3610 2570 2800 32320
1982 1850 3200 1910  670 2660 8130 3310 3620 3540 2370 1260 1780 34300
1983  320   70  700  350  910 1770 4100 4210 3200 2130 3440 1370 22570
1984 1350 2440  990  560  450 3140 2440 3890 1630 4390 3060 1380 25720
1985 3670  830 1700 2240 1730 4740 2930 3930 4400 2620 1470 3640 33900
1986 1910 2690 2770 1760 2440 3320 3900 2860 3130 1940 3570 1490 31780
1987 1510 1250  500 1220 1010 2800 3840 7080  710 1700 1640  700 23960
1988  930  920  710 1000 1840 2660 3500 1360 3710 5620 2290 2270 26810
1989 2560 3110 1820 1180 2710 3440 3440 4510 2980 3420 1810 2210 33190
1990 1580  590  810 1480 3180 5830 3120 5780 3700 1920 2400  560 30950
1991 2150  330  460  910 1250 3410 4360 3440 3920 4420 1720  950 27320
1992 1070  380  750  330  380  -10  -10  -10  -10  -10  700 1570   -10
1993 1610  -10  -10 1480  -10  -10 3980  -10  -10  -10  -10  -10   -10
1994  -10  -10  -10 2900  -10 3710  -10  -10  -10  -10  600 2480   -10
   3831 1000 14250    0                                 19741994   3831        0
1974  -10  -10  -10  -10  -10 3156 3678 3954 2475 4725 4090 2437   -10
1975 3301  155 1072 1922 1983 2498 2298 3764 2849 3100 2708 1762 27412
1976 1443 1030 1483 2260 3372 2809 2781 4006 3587 1153 2204 1798 27926
1977  605  378  509   97 2331 1565 3608 3137 4656 2531 1841 1737 22995
1978  412 1044  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979  513  287 1455 1535 1847 4812 3219 4426 2890 4018 1928 2605 29535
1980  685 2016  921 1548 3485 3266 4157 2743 4110 3684 1255 2858 30728
1981 2578 1515  465  157 1088 3533 3877 3737 4090 3463 2426 2637 29566
1982 1199 1999 1438  712 2811 5683 3543 3210 3547 2853 1050 1367 29412
1983  242    0  395  393  512 1778 3728 3925 2962 2651 3252 1700 21538
1984 1733 1355 1116  373  307 3215 1639 4781 1620 4280 2614 1076 24109
1985 3195  651  906 2289 2287 4370 3339 4123 4088 2306  971 2952 31477
1986 1348 2650 2455 2967 1892 2810 3929 3661 3177 2089 2856 1514 31348
1987  927  491  477 1025  690 2901 4147 5723 1539 2789 2295  797 23801
1988  325 1001  459  425 2185 2935 3626 2447 3515 5137 1877 2205 26137
1989 1912 1336  991 2072 2202 3160 4266 4541 2701 3585 1671 1936 30373
1990 1126  351 1062  790 2476 5209 2881 5918 3644 1995 2993  460 28905
1991 1397  768 1000 1311 1523 3408 4216 3966 4876 4244 1972  566 29247
1992  819  189  325  174  203 2283 3282 5011 2670 3102 1794 1387 21239
1993 1479  453 1885 1509  749 1626 3130 5227 4226 2998 2082 2740 28104
1994 1134 1451  789 2200 3564 3065 4942 2499 5664 1674  619 2434 30035
   3832 1000 14630    0                                 19741994   3832        0
1974  -10  -10  -10  -10  -10 3224 3573 4247 2483 4620 3554 1787   -10
1975 2153  179 1148 1427 2245 2176 2256 3754 2784 2852 3602 1435 26011
1976 1357 1190 1276 2252 4187 2528 2659 4007 3836 1576 2401 1355 28624
1977  574  104  577  429 2231 1324 2886 2676 4549 3199 2060 1056 21665
1978  362  688  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979  362  176 1247 1807 1936 4278 2937 4607 3014 4412 2175 2297 29248
1980  935 2253  758 1132 4096 3174 4125 2607 4097 3765 1086 2609 30637
1981 2206 1225  348  212 1212 3515 3238 3813 3785 3309 2211 2853 27927
1982  896 1577 1553  715 2709 4555 3622 3092 3578 2809  859 1040 27005
1983  273    0  290  428  408 1412 3668 3846 2657 2850 2998 1793 20623
1984 1555  919 1053  390  535 2548 1254 4524 1566 4244 2609 1118 22315
1985 2853  573  577 2133 2416 3788 3467 3967 3849 1926  661 2585 28795
1986 1442 2421 2526 3274 1944 2485 3965 3514 3239 1921 2347 1793 30871
1987  850   99  539 1349  656 2740 4171 4920 1430 2540 2615  968 22877
1988   33  980  298  170 2135 2609 3272 2717 3462 4660 1606 1839 23781
1989 1439  555  545 2887 2029 3076 4568 4559 2607 3866 1635 2310 30076
1990 1093  299 1208  952 2176 4469 2665 5793 3779 2261 2985  645 28325
1991  977 1128 1623 1951 2033 3629 3820 3811 5308 4068 2211  322 30881
1992  757  153  158  157  280 1945 3179 4751 2680 3504 1905  790 20259
1993 1477  201 2039 1718 1105 1496 2705 5463 4507 3273 2001 2773 28758
1994 1007 1682  585 2060 3504 2429 4391 2188 5461 2447  710 2427 28891
   3833 1000 15000    0                                 19741994   3833        0
1974  -10  -10  -10  -10  -10 3403 3451 4263 2664 4609 3199 1325   -10
1975 1172  182 1068  990 2714 2036 2227 3485 2766 2785 4181 1588 25194
1976 1343 1343 1203 2229 5008 2463 2519 4082 4212 2063 2812 1149 30426
1977  678    0  750  955 2225 1210 2310 2508 4327 3750 2562  620 21895
1978  656  400  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979  591  196 1053 2230 2100 3868 2601 5108 3005 4704 2742 2199 30397
1980 1312 2054  850  898 4542 2861 4047 2566 3837 3757 1057 2652 30433
1981 2022  961  318  798 1527 3220 2690 3829 3507 3195 2135 3111 27313
1982  713 1454 1749  752 2718 3799 3767 3203 3538 2591  728  910 25922
1983  435   27  287  499  463 1124 3840 3664 2262 2953 2636 1770 19960
1984 1346  812 1002  471  937 1868 1015 4008 1535 4279 2874 1183 21330
1985 2783  558  308 2128 2504 3224 3485 3767 3598 1677  693 2240 26965
1986 1660 2212 2708 3044 2481 2278 4032 3231 3257 1758 2044 2160 30865
1987  955    0  751 2001  729 2640 4132 4309 1367 1955 2825 1132 22796
1988    0  926  147   82 2148 2298 2830 2621 3404 4310 1445 1563 21774
1989 1103  208  341 3528 2047 2984 4752 4446 2564 4159 1663 2790 30585
1990 1220  370 1447 1492 2092 3664 2615 5559 4045 2630 3034  876 29044
1991  941 1385 2320 2678 2738 3691 3367 3451 5624 3658 2533  285 32671
1992  829  254  160  246  452 1744 2976 4246 2841 3753 1870  332 19703
1993 1515  215 2318 2102 1463 1502 2493 5564 4631 3504 2173 2845 30325
1994 1059 1849  471 2013 3513 1912 3855 2113 5219 3109  744 2420 28277
   3834 1000 15380    0                                 19741994   3834        0
1974  -10  -10  -10  -10  -10 3548 3379 4113 2988 4560 3225 1246   -10
1975  451   80 1143  810 3118 2355 2267 3191 2695 3066 3985 2198 25359
1976 1295 1465 1269 2707 5400 2697 2510 4237 4584 2550 3505 1194 33413
1977  824    0 1092 1491 2476 1265 2047 2740 3840 4218 2976  440 23409
1978 1224  244  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979  994  166  957 2877 2256 3754 2420 5487 2881 4859 3552 2247 32450
1980 1602 1738  983 1024 5027 2595 3767 2770 3676 3630 1148 2766 30726
1981 2113  735  558 1491 1834 2769 2339 3686 3274 3077 2278 3177 27331
1982  715 1344 1718  947 2980 3196 4020 3377 3671 2352  845 1034 26199
1983  684  119  349  603  601 1200 4248 3247 1982 3105 2369 1917 20424
1984 1421 1068  937  753 1419 1606  980 3528 1542 4249 3319 1221 22043
1985 2851  558    0 2618 2731 2786 3407 3519 3382 1680 1165 2009 26706
1986 1754 2007 2807 2380 3266 2024 4113 3124 3272 1679 1998 2467 30891
1987 1221    0 1213 2538  642 2720 3947 3823 1842 1564 3138 1353 24001
1988    0  869   14  304 2376 2349 2603 2402 3359 4242 1552 1633 21703
1989 1058  249  443 3885 2332 2813 4807 4116 2531 4403 1735 3076 31448
1990 1581  558 1926 1980 2383 3034 2537 5269 4314 2887 3282 1158 30909
1991 1244 1357 3348 3367 3527 3537 2885 3226 6047 3055 3059  412 35064
1992 1052  467  286  415  564 1657 2736 3791 3164 3574 2255  399 20360
1993 1517  441 2950 2439 1782 1676 2575 5587 4567 3620 2550 2938 32642
1994 1121 1793  446 1953 3576 1685 3461 2366 4946 3465  726 2632 28170
   3835 1000 15750    0                                 19741994   3835        0
1974  -10  -10  -10  -10  -10 3831 3903 4580 2729 4068 3601 1558   -10
1975  412   56 1489 1631 3060 2815 2907 2646 2599 4026 3514 4047 29202
1976  773 1590 2649 3069 4708 3357 2610 5333 5127 2654 4317 1665 37852
1977  703    0 1486 1958 3632 1810 2501 3067 3150 4664 3317  583 26871
1978 2446  617  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979 1363  218 1176 3184 2514 3733 2994 4973 2399 4095 3761 3192 33602
1980 1568 2381  866 1886 6731 3093 3288 2940 4284 2891 1540 1842 33310
1981 1557 1263  965 1488 3106 2591 2619 3676 3372 2906 2819 2830 29192
1982 1216 1898 1596 1712 3651 3384 4989 4081 5071 2415 1706 1896 33615
1983  407  216  294  517  461 1658 4403 2886 2050 3451 2913 1911 21167
1984 2118 1373 1026  837 1110 2113 1357 2783 1932 3984 3503 1663 23799
1985 2455  724    0 3324 3076 2821 3398 3534 2835 2104 2112 2181 28564
1986 1270 1267 2655 1972 4882 2373 4497 3628 3820 1919 2237 2358 32878
1987 1765  186 2630 2396  802 3831 4360 3576 2725 1788 3674 1637 29370
1988  424  767  429 1289 2694 2862 2481 2376 3677 4321 2046 2082 25448
1989 1689  761  803 3829 3019 2957 4827 4262 2868 5260 1779 3931 35985
1990 1684  980 2294 2393 3408 3135 2306 4465 5443 3458 3533 2178 35277
1991  919 1090 5214 3743 4069 3116 3162 3846 7534 3346 4310  756 41105
1992 1607  449  318  465  641 1881 2937 3624 3844 3367 3249  886 23268
1993 1435  803 3728 2236 2187 2145 3146 5649 4695 3724 3179 3281 36208
1994 1241 1754  646 2112 3779 1593 3411 2799 5036 3894  819 3762 30846
   3836 1000 16130    0                                 19741994   3836        0
1974  -10  -10  -10  -10  -10 3007 3264 4334 3012 3691 3159 1552   -10
1975  260    0 1026 1175 2554 2719 2836 2433 2414 4142 2847 3136 25542
1976  464 1229 2000 2886 3693 2941 2519 4279 4276 2229 3358 1289 31163
1977  663    0 1265 1763 3061 1446 2340 2496 2599 4439 2999  779 23850
1978 2517  854  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979 1474  158  975 2684 1788 2559 2700 4261 2146 3503 3311 2717 28276
1980 1215 1620  659 2051 6187 2570 2886 2510 4372 2611 1640 1138 29459
1981  820  796 1418 1447 2179 1948 2353 3327 3049 2452 2693 2017 24499
1982  896 1176  942 1647 3241 3246 4739 4033 4832 2437 2013 1431 30633
1983  142  120  173  441  301 1351 3935 2393 2128 3226 2824 1345 18379
1984 1516 1126  730  709  730 1540  836 2061 1497 3491 2958 1174 18368
1985 1580  347    0 2925 3098 2505 2883 3097 2530 2177 1977 1422 24541
1986  952  814 1991 1305 4404 2514 4106 3850 3907 2144 2421 2940 31348
1987 1190  290 1861 1509  540 3431 3564 3150 2862 1802 3571 1381 25151
1988  530  586  268  948 2074 2614 2649 1912 3661 4318 1599 1812 22971
1989 1318  480  413 2955 2938 2576 4069 3529 3104 4329 1909 2839 30459
1990 1724  652 2385 1871 3405 3037 2213 3586 5024 3225 3582 2271 32975
1991  675  839 4529 3461 3344 2904 2824 3821 6478 3316 4368  524 37083
1992 1148  270   40  180  492 1350 2679 3154 3880 2944 3758  826 20721
1993  630  585 3405 1383 1695 1830 2729 5036 4285 3353 3289 2738 30958
1994  994 1115  240 2266 3035 1481 2942 2592 4600 3786  944 3465 27460
   3837 1000 16500    0                                 19741994   3837        0
1974  -10  -10  -10  -10  -10 2309 2386 4291 3175 3457 2762 1421   -10
1975    0    0  389  917 2107 2308 2757 2423 2364 4327 2605 2067 22264
1976  469 1110 1445 2697 2952 2373 2383 3308 3568 1921 2347  651 25224
1977  525    0  883 1594 2548 1091 2389 2061 2200 4296 2619 1084 21290
1978 2264  938  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979 1569  122  613 2217 1039 1571 2406 3857 1937 3025 2968 1931 23255
1980 1015  979  370 2080 5707 2069 2689 2184 4165 2407 1722  493 25880
1981  157  214 1754 1217 1134 1445 2300 2961 2797 2211 2623 1313 20126
1982  506  490  266 1418 2837 2985 4285 3786 4500 2422 2265 1030 26790
