1974  561  130  124  311  720 1692 1353 1426  841 1258  484  157  9057
1975  510  328   53   60 1981 2124 1901 1635 1271 1569  640  305 12377
1976  335  602  106  552 1782 3280  302 2770 1239 1372  582  483 13405
1977  231  386  279  362 2573  767  834 1623 1224 1550  560  458 10847
1978  512  892  742  672 1641 2184  895 1559 1091 1682  737  511 13118
1979  445  171   59  842 1220 1235 1381 2134 3535 2520 1355  626 15523
1980  272  561  197 2857 1054 1013 2274 2110  893 3169 1655 1547 17602
1981  291  420  267  147  314 1307  878 2679 3141  941  709  907 12001
1982  148  315  789 1474 1327 1618 1563 1264 1281 1358 1432  286 12855
1983 2217 1193 1094  911  707 2892 1076 1422 1576 1461  539  719 15807
1984  281  619 1220 1639 1991 1628 1166 1337 3760  607  649   70 14967
1985  190   36  781  508 1761 1712 1985 1403 2057 1419  558  798 13208
1986  515  243 1214  133  688 2287 1171 1153  808  591  346 1577 10726
1987  443  546  845  388  959 1179 1444 1882 2310 2829  553 1050 14428
1988  757  224  195  347 2056 3196 2295 2600  735  917  337  126 13785
1989  300  163  462 1038  425 1783 1364 3431 1525  783  844  194 12312
1990  224  272  439 1165 1641 1420 1462 3687  997  965  290  181 12743
1991  360  627  613 1287  544 1983 1805 2335 2885 3616 1024  174 17253
1992  205  589  465  707  457 2852  765 1887 1733  680 2134  224 12698
1993 1212  659 1356  933  983 1462 1443 1441 2715 1761 1038  137 15140
1994  610 1136  391  749 1005 1379 1042 2629 2406 1279 1897  762 15285
   4349 2500 -7500    0                                 19741994   4349        0
1974  -10  -10  -10  -10  -10 2023  853  657  901 1577  452  119   -10
1975  226  279   60  104 1257  992  899  844  699 1073  323  311  7067
1976  212  437  150  349 1198 2366  349 1314  660 1266  428  175  8904
1977  445  615  117  749 2822  530  454  892 1358 1391  766  509 10648
1978  651 1047  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979  525  257  137  506 1238  381  733 1159 2042 2134  783  251 10146
1980  238  416  104 1692 1347 1626 1304 1190  962 2063 1327 1123 13392
1981  204  254  203  179  515  394  385 1661 1829  796  474  432  7326
1982  445  235  481  770 1758 1309  521  595 1259 1264 1018  119  9774
1983 2239 1650 1070  576  450 2156  749 1201 1208 1790  699  591 14379
1984  328 1242  737 1233 1250 1092  548  940 2158  758  635  169 11090
1985  101   82  390  748 1746  767 1381  664 2007 1597  534  260 10277
1986  477  180  633  236  863 2193  529  387  255  474  365  850  7442
1987  392  565 1767  494  542  407  422  820 1604 2804 1718  889 12424
1988  650  127  222  193 2224 2865 1862 2053  132  688  392  363 11771
1989  452  288  360  573  252  520  929 2020 1189  456  349  228  7616
1990  236  296  268  570 1059  641 1188 1902  596 1323  501  264  8844
1991  149  245  301  723  145 1728  917 1340 1899 2288 1290   58 11083
1992  539  623  581  769  500 2719  458 1104 1362  410 1037  246 10348
1993 1298  753 1414 1139 1291 1044  760  888 1230 1692  938  281 12728
1994  649  632  223  476 1541 1449  609 1692 1579 1131 1669  547 12197
   4350 2500 -7130    0                                 19741994   4350        0
1974  -10  -10  -10  -10  -10 1181  444  531  861 1797  469  174   -10
1975  210  198  100  105  600  552  570  579  699 1082  382  436  5513
1976  200  365  176  286  530 1685  276 1087  528 1199  388   77  6797
1977  610  682  115  960 3092   86  370  593  899 1747 1065  438 10657
1978  554  953  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979  371  254  285  416 1395  774  723  801 1273 1967  785  252  9296
1980  255  401  113 1388 1560 1623  634  949  702 1531  970 1081 11207
1981  453  271  259  216  611  115  271  856 1149  889  902  525  6517
1982  468  264  220  498 1857  796  248  363 1404 1311  729  240  8398
1983 2123 1695 1117  743  364 1894  764  962  476 1686  917  375 13116
1984  454 1755  564 1064  544 1149  192  825 1481 1377  888  236 10529
1985  123  168  313  612 1877  278  898  363 1904 1844  541  213  9134
1986  604  149  612  364 1227 1875  352  256  130  477  473  390  6909
1987  319  557 1710 1201  542  326  145  546 1235 2897 2359 1253 13090
1988  499  195  178  174 2471 2582 1354 1611   91  915  494  398 10962
1989  473  407  353  434  657  243  437 1589 1297  304  174   93  6461
1990  269  241  202  347  831  139 1132  852  299 1737  934  349  7332
1991  146  210  223  405    0 1504  404  829 1538 1632 1390  125  8406
1992  895  665  917  816  638 1932  268  752 1173  476  801  455  9788
1993 1104  811 1311 1439 1265 1006  674  476  374 1459 1265  495 11679
1994  615  618  237  316 1980 1298  206  802  562 1278 1523  552  9987
   4351 2500 -6750    0                                 19741994   4351        0
1974  -10  -10  -10  -10  -10  173  337  537 1008 1457  612  243   -10
1975  257  165  141  105  381  384  413  479  714  797  511  553  4900
1976  207  318  196  291  284 1194  213  947  620 1030  351  211  5862
1977  768  645  148  983 3003  118  348  655  753 2077 1597  265 11360
1978  395  846  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979  262  218  346  359 1877 1771 1008  806  793 1943  875  339 10597
1980  261  375  127 1253 2106 1614  421  813  522 1142  614 1296 10544
1981  842  343  355  267 1626   12  397  573 1217 1210 1460  843  9145
1982  403  322  186  417 2154  561  149  329 1601 1483  684  331  8620
1983 1904 1656 1259 1020  994 2109  973  586  166 1320  976  406 13369
1984  549 1964  451  809  325 1573  232  847 1548 2008 1330  275 11911
1985  140  210  297  584 1788  130  836  293 2279 1953  525  224  9259
1986  813  143  741  647 1815 1197  283  266  106  674  502  206  7393
1987  270  440 1508 2256 1209  832   11  423  914 2504 2867 1621 14855
1988  298  229  127  183 2435 2365  948 1074  106 1034  511  384  9694
1989  436  433  350  466 1154  201  185 1392 1325  258  196  111  6507
1990  261  187  170  374  774  163 1121  509  479 2074 1238  405  7755
