1974 7150 5100 3500 5060 1810 5340 2910 3120 1040 1340  750 1810 38930
1975 4190 1160 7590 3940 1120 3090 1890 1680 1670  690 2410 5310 34740
1976 4520 7946 5730 2370 1870 3890 3140 1340  840  960  890  930 34426
1977 5420  530 3160 1950 3860 3020 1950 1420 2340 1050 1430 1470 27600
1978 2740 2810 7410 2410 1720 2700 4230 1600 1940  890 2540 3050 34040
1979 4720 3220 2610 1510 1360 1430 3260 1570 1530 1890  710 2850 26660
1980 5700 4620 1660 2850 2720 1210 3290 1620 1030 2140 1940 3340 32120
1981 1580 3100 4040 3560 4130 1320 1580 2380  247 1930  610 2180 26657
1982 2780 5710 7630 1760 2420 3810 5250 3590 2150 3540 1570 4350 44560
1983 2650  940 4150 5090 2500 4280 2150 1660  920 1300 2530 5810 33980
1984 3240 2630 5900 9780 2300 2190 2370 2010  520 1660 1690 1690 35980
1985 2810 6110 4760 4900 1940 2970 3320 2190 1290 1490 1750 4900 38430
1986 3640 2720 6980 3570 2220 2530 1660 1630  560 3950  990 6077 36527
1987 2010 3940 5632 3070 3000 1540 1700 1790  970 1640 2170  180 27642
1988 5360 2530 5060 2358 3560  -10 1590  617  172  980 2110 4100   -10
1989 5180 4762 8610 2390 2970 3030 3020 2860 2850  200 1570 6240 43682
1990 1920 3790 1460 3920 1970 2220 1890 1530  690 1230  -10  -10   -10
1991  -10  -10 5525 3854 1841  -10 1857    0  -10  -10  -10  -10   -10
1992  -10  -10  -10  -10    0  -10  -10  -10  -10  -10  -10  -10   -10
1993  -10  -10  -10  -10  -10 3866  -10  -10  167  -10  -10  -10   -10
1994  -10  -10  -10  -10  -10  -10  -10  -10  -10  540  117 2520   -10
   2751-1750  5250    0                                 19741994   2751        0
1974  -10  -10  -10  -10  -10 2046 1211 1345  590  715  556 2245   -10
1975 2318 2141 4569 1700  970 1297  934  828  716  403 1482 3624 20982
1976 3076 5323 3278 1675 1245 1738 1279  713  507  486  850 1688 21858
1977 3694 2875 2334 1679 1830 1190 1038  777  941  620  650 1423 19051
1978 1965 1948  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979 2972 2938 1703 1159 1070  977 1288 1241  621  818 1155 2699 18641
1980 6337 2331 2716 2792 1726  741 1405  798  658  982  902 2105 23493
1981 1449 2478 3920 2520 1538  804  883  986  252  962  593 2083 18468
1982 3261 4663 4095 1358 1339 1852 1992 1549 1377 1713 1072 2687 26958
1983 2564 1436 2432 2481 1080 2092  907  736  386  649 1494 3967 20224
1984 3536 2544 3294 4512 1044 1064 1016  876  429  932 1342 1565 22154
1985 2944 5649 2848 2324  851 1336 1495  927  583  692 1158 3372 24179
1986 2862 2965 3521 2027 1163 1015  691  896  337 1893  955 3773 22098
1987 3463 3667 3010 2286 1222 1078  814  882  527  732 1364  472 19517
1988 3842 2096 2706 1410 1648 1011  806  406  173  593 1084 2949 18724
1989 3758 3387 5250 1245 1440 1354 1352 1227 1345  241  783 4488 25870
1990 1533 2613  848 2323 1272  922  722  713  391  615 1050 1740 14742
1991 1803 2914 4081 3297 1156 1141  764  168  642  596 1585 1953 20100
1992 2604 3797 2516 1569  275 1350 1031  820  484  785 1202 1001 17434
1993 2001 4519 4032 2987 1632 1622 1112  923  211  659  693 1950 22341
1994 3429 2624 4025 1402 1102  941 1032  868  420  568  114 1526 18051
   2752-1750  5630    0                                 19741994   2752        0
1974  -10  -10  -10  -10  -10  986  737  850  537  451  314 1260   -10
1975  822 1467 2699 1036 1123  764  621  653  445  240  765 2135 12770
1976 1809 3439 1973 1835 1334 1125  708  612  494  282  381  902 14894
1977 3082 3651 1292 1658 1339  735  961  621  531  442  438  980 15730
1978 1605 1155  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979 1635 2645 1143 1155 1147 1008  682 1598  324  391  519 2464 14711
1980 6853 1356 2570 2476 1881  831  931  658  686  492  467 1111 20312
1981 1237 1465 3139 2363  742  717  806  542  355  495  481 1469 13811
1982 2026 4557 2090 1336 1062 1417  966  997 1310  983  748 1645 19137
1983 2022 1302 1382 1647  692 1684  583  510  252  394  573 1851 12892
1984 2781 1462 1497 2186  719  542  658  560  493  615  567  841 12921
1985 2643 5108 1456 1541  582  899  989  553  368  439  537 2310 17425
1986 2437 2211 2429 1254  965  684  292  806  332  590  575 1921 14496
1987 3093 3580 1528 2391 1038 1183  591  616  457  436  459  475 15847
1988 2311 1375 1604 1337 1167  531  561  429  200  472  686 2061 12734
1989 2675 2206 4312  891  793  901  964  771 1026  320  486 3405 18750
1990  851 2241  961 1388  985  559  369  533  345  290  671  618  9811
1991 1207 1614 3020 3027  559  674  426  298  474  254  980 1370 13903
1992  796 3623 1500 1121  515  850  590  631  342  490  310  165 10933
1993 1125 3149 3105 2442 1378  997  748  750  313  269  361 1114 15751
1994 2382 1874 2671  877  995  495  597  643  266  300  192  386 11678
