1974  740 1170  210 1140  360 1460 1420  490 1210 2680  950 4730 16560
1975   80  820 1040  700 1020 1420 2640 1900 1280 1970  820 2080 15770
1976 1090    0  620  100 1810 1500 2400  880 1980 1330 1000  380 13090
1977  130  490   20  160  220  -10  -10  -10  -10  -10  -10  -10   -10
1978 1170  296 1240 1400  638 1031  570  190  277  200 1030  210  8252
1979    0  327    5  510 1060 1770 1380  300  640 1630  350 2880 10852
1980  520  810   50  970   60 2500 1350 1070 1820 1970 1990  410 13520
1981  630  140  860  881 1090 1845  980  680 1280  830 1690  490 11396
1982   60  350 1420  190 3610 1790  700 1160  830 1250  320  160 11840
1983   60   10   20   30 1310  160 2260  560 2750 1420 1680 1380 11640
1984 1060  580  130  680 1280 1870 1090 2570  790 3140  200  140 13530
1985   60  721  230  360  990 1250 1860  690 2510 1860  680  290 11501
1986  510  850  990  170  350 1425 2120 2630 1620  960 1920  100 13645
1987  160   60  390    0  260  740 2420  970 1030  560 1740  240  8570
1988  270  710  510  810  450 1000 1510 2060 1010 3640 1010  350 13330
1989  130  380  800  920  790 1180  970 1820  680  910  720  220  9520
1990  310  220  130  690 2157 2190  700 2210 3250 1660 1310   50 14877
1991  300  200    0  690 1170  -10 1360  670  960 2040  450  250   -10
1992  -10    0   20  170  210 1650 1770  210  440 2630  760  -10   -10
1993  300  550   60  410  760  -10 1370  900  290 2490  670  430   -10
1994  370  640  940 1060  920 1620 1660 3190 3500  500  580  640 15620
   3731  750 12750    0                                 19741994   3731        0
1974  -10  -10  -10  -10  -10 2735 2858 1391 1875 4369 2842 4377   -10
1975 2264 1036 1575 1652 2329 2761 3577 2371 3056 2718 2050 3570 28959
1976 2471 1376 1331 1242 2171 2157 2691 2588 2116 1969 1552 2579 24243
1977 1029 1658  799  775 1300 2452 3356 2906 1722 1803 1751  872 20423
1978 1702 1730  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979  779  483  502 2281 1642 3146 3035 1820 2287 2805 1651 3043 23474
1980 2027 2392  945 2223  658 3474 2111 2540 2388 3139 2956 2380 27233
1981 2187 1542  991  843 2085 3297 2690 1661 2939 2297 4448 2528 27508
1982 1762 1915 2017  838 3255 3559 2224 2186  973 1805 1130 1330 22994
1983  385  205  331  350 1130 2187 3958 2380 3004 2171 2628 2802 21531
1984 3308 2517 2306 1758 2318 3150 2427 3198 2385 3715 1936 2392 31410
1985 2224 2627  308 2212 1683 3240 3041 1482 3969 2882 2268 1498 27434
1986 2612 2487 2517  574 1029 2819 3474 2849 2158 2389 3258  864 27030
1987 1682 1128  864  668 1586 2271 3832 3516 1263 1858 3079 1616 23363
1988  982 1703 1056 1006 1988 3022 2367 2675 2272 4442 2613 2853 26979
1989 2478 2891 2305 1928 2427 2965 2620 3433 1147 2427 1828 1045 27494
1990 1923  491 1326  837 2731 4582 2155 2696 3389 2500 3277  668 26575
1991 2989 1370  765 1352 2141 1741 3520 2193 1999 2016 1394 1330 22810
1992  808  409  421  309 1223 3304 3127 1897 1539 3598 1024 2229 19888
1993 1101 1600 1246 1679 1319 1762 2475 2464 1475 2577 2412 2637 22747
1994 1732 1505 1701 1716 2644 3190 3280 2771 3579 1097 1087 2110 26412
   3732  750 13130    0                                 19741994   3732        0
1974  -10  -10  -10  -10  -10 2784 3828 2291 2544 5088 3572 4428   -10
1975 3342  887 1706 1918 2548 3444 4384 2557 3623 2805 2459 4282 33955
1976 2473 1609 1744 2544 2060 2117 2472 3461 2172 2208 1604 3330 27794
1977 1238 1718  975 1018 1963 2798 4354 3766 2470 2181 1893 1541 25915
1978 2005 3110  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979 1192  802 1043 3829 2137 4288 3773 2462 2688 3148 2293 3136 30791
1980 2245 2989 1303 3177 1277 3899 2670 3291 2854 3508 3007 3428 33648
1981 2547 2391  991  717 2323 4865 3741 2146 3626 3017 3913 2894 33171
1982 1871 2045 2128 1362 3571 4611 3326 2587  705 1988 1573 2225 27992
1983  516  165  386  499 1142 3137 4719 3384 3102 2743 2887 2932 25612
1984 4026 2837 3077 1859 2436 3748 2940 3882 2639 4092 2292 2611 36439
1985 3056 3106  665 2935 2112 4655 3795 2460 4989 2870 2674 1923 35240
1986 3025 3324 2701  640 1742 3631 4719 3033 2407 3007 3857 1406 33492
1987 2120 1409 1048  898 2496 3469 4933 5535 1051 2486 3090 1998 30533
1988 1390 1893 1231 1062 2889 4076 3015 3011 2699 4853 3072 4018 33209
1989 3146 3381 2805 1967 3172 3657 3758 4085 1233 2985 2198 1431 33818
1990 1994  608 1968 1186 2886 6187 3359 2921 3624 2702 4186  599 32220
1991 4342 1623 1075 1813 2362 2582 5261 2947 3302 2099 1662 2007 31075
1992 1526  409  663  359 1660 4180 3935 2933 2209 3955 1082 3239 26150
1993 1565 2085 1798 2523 1451 2602 2894 3059 2216 2719 2818 3034 28764
1994 2109 1735 1721 1753 3565 3993 4203 2833 3865 1024 1114 2226 30141
