1974 1792 1253 2668 1890 3302  116  210  127   20   21  104 1511 13014
1975 1085 1085 2165 2060  368   90   44   44   82  276  196 1199  8694
1976 1638 1617 1482 3060  688   97   34   15   25  114  212  395  9377
1977 1703  594 2254 1308  318   22   83   47  153  216  374 1454  8526
1978 1288  805 2800 1984  125   36   37   62  110  229 1325 1822 10623
1979 2357 2099 1586 2161  502   22  186    6  157   30 1413  844 11363
1980 2375  649 2286 2715  133   21   20  275   94  199  235 1439 10441
1981  965 1779 1255  975  316  119   24   22   71  122  229 1351  7228
1982 1292 1801 1166 1052  789   20   42  465   82  446  786 1404  9345
1983 1737 1322 1783  900  641  335   40   88   35  182  315 1477  8855
1984 2022 1223 1974  909  488  125  118   54   98  210  496 1546  9263
1985 1636 1282  895 1350  321   57  144  111  123  178 1876  744  8717
1986 3145 1572 1507 2149  225   48   36    0    7  367  895 2019 11970
1987 1695 1030 1496  701  382   14   36   26   27  170 1995  819  8391
1988 1095 1210 2633  652  265   53  149  141    8  119  567 1811  8703
1989 2310 1375 2336 1386 1581  159   50  171   18   66  758 1932 12142
1990 1386 1686 1249 2181  237   80   32   26  231   13  585  966  8672
1991 1343  812 2235 2364  228    0  546   12  641  162 2723  527 11593
1992 1198  918  883  910  652  -10   95   12  -10  -10  269  -10   -10
1993  -10 2297 1853  -10  -10    0    0  -10  -10  209  -10  235   -10
1994  -10  -10  -10  667   57  -10    0  111    0  139  255  896   -10
   3037-1000  4500    0                                 19741994   3037        0
1974  -10  -10  -10  -10  -10  502  325  307   79  123  240  798   -10
1975 1453 1231 2338 1387  545  373  435  169  169  190  609 1504 10403
1976 2117 1720 1526 1620  674  455  345  171  145  142 1161  200 10276
1977 1593  396 1469 1238  340  249  251  299  266  411  376  866  7754
1978 1479  962  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979 2197 1594 1538 1458  661  270  360  131  218  166  842  764 10199
1980 3042  894 2037 2350  246  144  217  418  144  289  413  667 10861
1981  453 1607 1211  711  321  330  147  264   84  335  284 1900  7647
1982  433 1979 1215  760  839  418  347  405  259  360  469 1814  9298
1983 1387 1252 1505  752  888  603  225  128   87  308  261 1670  9066
1984 2782 1252 1719 1664  576  960  293  104  120  325  243  969 11007
1985 1210 2637  480 1040  375  223  391  194  174  175  285  607  7791
1986 3587  670 1717 1861  411  135  252  140   44  596  507 2099 12019
1987 1934 1481 1307  839  469  206  182  432  105  199 1185  429  8768
1988 1492 1353 2180  661  408  319  223  117  121  219  446 1527  9066
1989 3918  719 1980 1368 1028  385  182  317  141  181  343 1934 12496
1990 1079 1570  923 1812  400  216  111  125  175  256  651  702  8020
1991 1524 1063 2267 2148  642  249  538  116  400  195 1705 1814 12661
1992 1260 1632  975 1669  685  439  231  135   76  184    0   94  7380
1993 1966 2031 2240 2204 1272  314  129  197    0  328  477  521 11679
1994 1420 1748 1209  742  114   53  160  165   94  343    0 1139  7187
   3038-1000  4880    0                                 19741994   3038        0
1974  -10  -10  -10  -10  -10  570  319  385   79  164  324  890   -10
1975 1939 1631 2720  600  506  448  724  259  198  146 1077 2182 12430
1976 2748 1984 1826  767  506  598  433  266  197  140 2074  323 11862
1977 1958  525  922  924  330  272  313  438  274  384  433  842  7615
1978 1928 1734  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979 2005 1232 1597  857  567  305  316  189  232  209  708 1073  9290
