1974 3440 2840 1860 2310 2410 1550 1540   50  420 1600 2430 1050 21500
1975 3620 7190 7530 6250 2330 2160  750 1770  470  670 4680 3080 40500
1976 2740 1590 4440 3750 4510 4180 3030 1220 1080 4430  260 1370 32600
1977 4410 1340 1100  990  930 2240 1730 1030 1390   20 1870 1530 18580
1978 3040  700 5070 2150 2380 1610 2570 2420  740  610 3000 2480 26770
1979 3610 1860 2840 4650 2450 2990 1910  300  490 2430 1550 1480 26560
1980 5290 3320 3530 2730 2160 3640 1070 1170  300 1690  510 3970 29380
1981 3100 5110 3810 1910  650  510  620 1300  380 1300 124011090 31020
1982  490 2720 4840 3240  910 2190  530 2480  870 2390 1350 4930 26940
1983 2840 3390 4640 1360 1330 1640 1260 2140  960 1680 3470 5030 29740
1984 2073 6390  210 1711 3260 9079 1196 1138  920 6271 4097  649 36994
1985 2338 2608 4698 2714 3145 1702 2789  983 3825 2321 1874 1919 30916
1986 1432 127210367  797 4445 2270  680 1938  478  151 3668 8978 36476
1987  904 2249 1810 2095 2735 4702 2179 2894  700 2140 1757 4551 28716
198811311 4662 2834 3481 3032 3351 1054 1629 1692    0 7572 3746 44364
198912894 4237 8240 4338 2644 4351 2133 2093 1729  331 1406 3591 47987
199014026 8117 4409  560  775 3918 1358 2016 1398  664 8702  248 46191
1991 1697 5445 5328 6578 1277 2460  797  878  626  452  819 1393 27750
1992 2489 6031 5958 7257 1186 4134  469 1654  956  905  312 1579 32930
1993 1998 1304 5827  -10  -10 1189  773  697  992  572 1562  -10   -10
1994 8860 5020 2046 1416  274 2081  984 2688  146    0  975 1609 26099
   2591-2250 17250    0                                 19741994   2591        0
1974  -10  -10  -10  -10  -10 2441  919  653 1032 2377 1888  913   -10
1975 2148 4551 4341 3890 2346 2482  850  994  885 1435 3447 2575 29944
1976 2491 1210 1995 2747 2774 2358 1794 1488 1690 2818  881  775 23021
1977 3913 1621 1314  906  284 1554 1559 1343 1234    0 1253  899 15880
1978 2030  582  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979 3318 1814 2143 2794 2264 2380 1452  314  683 1384 1049  767 20362
1980 3127 2105 1878 2740 1124 2513  959  957  740 1246  483 1971 19843
1981 3091 2489 2184 1262 1208 1005  314  985  591  904 1915 6037 21985
1982 1142 2128 3167 1895  932 2386  886 1831  362  829  810 2549 18917
1983 1642 1720 2970 1056  427 1793  728 1313  454 1289 2024 3286 18702
1984 1461 3845  252 1307 3241 4969  978 1025  787 3412 2358 1774 25409
1985 1335 3045 3627 2251 2769 2005 2250 1132 3065 2271 1483 1141 26374
1986 1326 1372 6685 1451 2358 2109  872 1433  521  175 1819 4571 24692
1987  790 1943 1111  808 1119 2411 1303 1335  581  993 1594 2162 16150
1988 5964 2900 2535 2338 2267 2652  884 1403 1126  799 4198 2732 29798
1989 7163 2707 4217 2862 2369 2688 1383 1837 1471  549  895 2224 30365
1990 6559 4445 2775  548  253 2535 1018 1535 1357  852 4377  226 26480
1991 1425 3536 3219 3854  909 1913  915  679  821  283  350  655 18559
1992 1346 3325 3116 3797  793 3104  673  929  525  509  253 1260 19630
1993  761 1730 3448 1100  881  730  612  787  626  262  887 1459 13283
1994 4493 3657 1620  741  430 2298  745 1908  193    0  591  813 17489
   2592-2250 17630    0                                 19741994   2592        0
1974  -10  -10  -10  -10  -10 2719  752 1268 1326 2538 1750 1280   -10
1975 2323 3418 2860 2738 2264 2433 1183  571 1434 2112 3319 2633 27288
1976 1893 1688 1238 2394 2245 1660 1220 1473 2011 2223 1296  643 19984
1977 3920 2281 1698 1093   43 1153 1480 1324 1315   40  691  704 15742
1978 2055  474  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979 3255 2027 1981 2202 2478 2532 1253  635 1236 1042 1050  503 20194
1980 2451 2157 1426 3058  563 2143  916 1163 1365 1660  684 1234 18820
1981 3400 1710 1416 1122 1493 1166  368 1335  769  816 2540 3666 19801
1982 2001 1826 2721 1517 1083 2529 1040 1659  197  307  685 1529 17094
1983 1114 1286 2407  576  170 1813  610 1118  438 1235 1538 2875 15180
1984 1356 2907  532 1329 3185 3320  993 1171  939 2034 1655 2404 21825
1985 1146 2780 3199 2046 2802 2101 1957 1262 2713 2321 1293 1038 24658
1986 1276 1165 5285 2646 1448 2233  972 1212  739  155 1104 3008 21243
1987  666 1867  939  210  398 1362  809  653  586  454 1517 1735 11196
1988 3766 2355 2469 1830 1761 1889  943 1338 1004 1027 2326 2526 23234
1989 4514 2212 3109 2446 2287 1788 1277 1745 1406  960  763 1559 24066
1990 3902 2656 2323  664  477 1997 1149 1497 1667  987 3032  118 20469
1991 1774 2662 2241 2922  839 1504 1055  702 1013  474  373  455 16014
1992  817 1689 1831 2433  705 2485  735  792  409  618  491 1690 14695
1993  583 2317 2427  975  992  526  562 1136  760  113  791 1268 12450
1994 2736 3254 1232  563  536 2296  778 1343  441    0  735  517 14431
   2593-2000-18000    0                                 19741994   2593        0
1974  -10  -10  -10  -10  -10 1899  374 1828 1362 2040 1965 2732   -10
1975 4309 2900 2193 1925 2703 2108 2147  219 1770 3091 4093 3705 31163
1976 2149 2963 1565 1835 2731 1530  763 1681 2414 1606 1895  911 22043
1977 4598 3300 3060 2738    0  386  999  842 1491  285   83 1035 18817
1978 2377  833  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979 3896 2213 1894 2422 3452 2862 1061  991 1980  709 1493  444 23417
1980 2487 2528 2121 5148   78 1436  566 1384 3011 3339 2120  877 25095
1981 3917 2072  853 1883 1558  503  313 1609 1085  957 4276 2195 21221
1982 3871 2077 2987 1840 1143 2159 1144 1868  132  178  728  901 19028
1983 1054 2104 1604  456   65 1045  627 1386  609  857 1090 3041 13938
1984 1513 2308 1407 2114 2328 2151  697 1028  872  865 1462 2269 19014
1985 2110 2113 2843 2420 2688 1556 1696 1262 2148 2104  835 1050 22825
1986 1915 1243 3812 6463  728 1837  493  735 1089  369  796 2789 22269
1987  954 2681 1994  149    0  701  228  118  465  246  965 2590 11091
1988 2698 2608 2413 2012 1625 1112 1157  735 1217 1019  828 2189 19613
1989 2887 2380 2964 2524 2500  768  663  983 1368 1415  431 1319 20202
1990 2653 1740 2130  771  775 1762 1547 1260 1938 1108 2952  907 19543
1991 2898 2739 2185 2452  997  979 1012  776 1458 1576  927  475 18474
1992  766  697 1375 2534  889 1308  702  798  648 1062  692 2725 14196
1993 1136 3211 2458 1982 1563  388  394 1767 1274  150 1150 1776 17249
1994 2204 3225 1092 1387 1076 2044  890  436 1324    9 1110 1018 15815
