1974 2927 3871 2743 1604  740 2408  939 1164 1656 5462 3322 2083 28919
1975 2004 2571 3464 2824 2057 5246 1444 1050 1903 2312 2734 1792 29401
1976 5773 3320 2348 4448 2443 4297 2134 1292 1133 1732 2335 1174 32429
1977 2767 3143 2165 3214  629 3006  960 1984  404  133 1836  790 21031
1978 2234 4650  988 2437 1247  196  434  554   41 1105  940 1077 15903
1979 3411 2834 1322 1469 1450  788 1101   14  692  622 1261 2169 17133
1980 1465 1777 2332  925 2075  -10  -10  -10  -10 1373 1438 1043   -10
1981 3550 3605 3215 3516  927  620  831  699 2172  444 1667 3723 24969
1982  -10  -10  -10  -10  -10  -10  -10  -10  -10 1720  -10  -10   -10
1983  -10 2800 2300 6710  -10  -10  -10 2050  -10  440 1450  -10   -10
1984  -10  -10  -10  -10  -10  -10  -10  -10  -10 3130  -10  -10   -10
1985  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1986  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1987 5300  -10 1640  -10 2020 4910 2810  -10  -10 1130 1010  -10   -10
1988 6310  -10 2540 1140 3350 6320  610 1010 1680 2820 2110  -10   -10
1989  -10 2210 1830 6450 3240 1490   90  -10 2630  -10 3160 2990   -10
1990 2540 2080 4850 2090  370  990  -10  -10  710 1690 1080 3710   -10
1991 1680  -10 4110 1770  810 4860  560  780 1330  -10  -10  -10   -10
1992 2910 7410  -10 2480 1000  -10 1620  270  170 1140   90  -10   -10
1993  720  -10  -10  -10 1220  910  490 1150  360  270  -10  -10   -10
1994  -10  -10 4790 2860  -10  -10  -10 4180  -10  300  -10  -10   -10
   2879-1500 17250    0                                 19741994   2879        0
1974  -10  -10  -10  -10  -10 1497  861 1118 1160 3757 2975 2294   -10
1975 2712 2984 3566 2690 2305 2752 1634  929 1614 2049 3629 2266 29130
1976 5470 3353 2518 3313 1955 3472 2062 1124 1529 1367 1947 1835 29945
1977 4282 3126 3749 2407 1421 2445 1028 1357  988  907 1823  455 23988
1978 2805 2877  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979 4154 2480 2002 1940 1637 1794 1430  496 1426  872 2572 2142 22945
1980 2137 2718 2379 1803 1643 1433 1018  783 1906 1468 2034 1217 20539
1981 3860 3673 2327 3730 1487  965  713 1005 1471  990 1640 3538 25399
1982 4084 2534 3878 1867 2247 2048 2622 3236  467 2614 2235 1404 29236
1983 2509 2810 2428 2914 1152  984  603 1347  943  829 1998 3853 22370
1984 3059 2748 4173 3346 3279 3427  358  703  339 2678 2896 3149 30155
1985 2842 2737 4272 1961 2179 2014 2241 1847 2342 1725 1976  874 27010
1986 3056 3212 3633 4569 2388 1949  134 1330 1019  875 2237 4329 28731
1987 1966 4872 2138 2992 2016 1994 1114  666  590 1062 1078 1612 22100
1988 5142 3564 2437 2576 2203 3854 1318  885 1634 2531 2210 4815 33169
1989 3503 4846 2504 4551 3265 1076  516  740 1794 1601 2191 2249 28836
1990 2345 1643 4357 1432  739 1377  514 1063 1195 2217 2437 3200 22519
1991 2751 3738 3681 2265 1438 2493  798  922 2797 2715 1859  691 26148
1992 2396 4452 1990 2919 1314 1566 1679 1141  400 1186  245 2001 21289
1993 1381 2994 5054 1933 1967  851  923 2334 1345  713 1353 2473 23321
1994 4125 4337 3944 2611 1920 2089 1076 1740 1219  791 1069 2037 26958
   2880-1500 17630    0                                 19741994   2880        0
1974  -10  -10  -10  -10  -10 1018  735 1323 1128 2888 2648 2436   -10
1975 3281 2734 2903 2454 2493 1453 1805  871 1323 2525 4105 2539 28486
1976 4700 3597 2380 2483 2154 2843 1730 1079 1956 1079 1927 2317 28245
1977 4888 3304 4840 2401 1812 1501 1010 1050 1321 1632 1457  428 25644
1978 3440 2242  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1979 4650 1993 2844 1880 1854 2581 1745  826 1920 1031 2613 2077 26014
1980 2815 2727 2430 2450 1613 1263 1160 1109 2341 1883 2422 1590 23803
1981 4054 3522 2123 4323 1796 1392  633 1322  985 1660 2271 2608 26689
1982 5029 2219 3564 1395 2323 1648 2937 3265  663 2785 2792 1212 29832
1983 2655 2712 2751 1230 1104  291  407  840  673 1073 2239 4171 20146
1984 3175 2666 4542 3003 3464 2440  597  696  432 2284 2419 4356 30074
1985 2893 3234 5105 1889 2014 1419 2227 1573 2623 2237 1543  893 27650
1986 3093 2683 3225 5515 2264 1994  154 1676 1381 1178 1640 3952 28755
1987  468 4482 2319 2786 2068  469  172  550  390 1071 1049 2068 17892
1988 4070 2818 2431 3562 1815 2185 1797 1022 1688 2597 2093 4472 30550
1989 2912 5590 2545 3220 3330  617  729  641 1249 1841 2316 1438 26428
1990 1977 1105 3938 1573 1062 1816 1002 1197 1122 2629 2912 2956 23289
1991 3958 3561 3382 2308 1524  960  784 1182 3602 2787 2530 1151 27729
1992 2459 2919 2168 2723 1798  868 1936 1890 1005 1951  915 2876 23508
