1900 4105 2059 1205 2020 2544 2858 2956 3150 3390 3080 3419 4416 35202
1901 2725 2208 2683 2109 1867 2881 2441 3497 1725 2958 3976 3652 32722
1902 3736 2718 2197 1813 1562 1246  704 1870 1692 1263 1508 2819 23128
1903 2734 1723 1965 1918 2024 2396 2072 3322 2758 3743 2587 3485 30727
1904 4508 1596 1509 1724 1650 1612 2058 2342 2516 3777 4381 3335 31008
1905 2055  698  384  845 2549 1683 1909 1130 1242 2692 3387 1286 19860
1906 1328  607  900  847 1927 2283 1749 2745 1762 2241 1461 4070 21920
1907 3223 3114 2772 1271 2220 1639 1862 1464 3440 2844 3806 3515 31170
1908 2037 2286 1696 1793 2244 3064 1952 1291 3074 3343 3117 3002 28899
1909 3657 1242 1102 1978 2848 2807 2632 2635 3169 4274 2658 2239 31241
1910 3722 2573 1390 1548 2633 3798 2240 2298 2919 2472 1954 2635 30182
1911 2809 2015 1188 1574 1165 1541 1540 2015 3100 2206 3256 4594 27003
1912 1335  982  776 1873 1673 2200 1273 1900 2698 2123 2623 2561 22017
1913 2818 2293 1922 1525 2388 2345 1925 2679 2307 3628 2644 3954 30428
1914 2539  471 1082  858 1376 1943 1218 1072 1251 1914 2041 1671 17436
1915 2708  473  965 1286 1455 1971 2087 1884 2813 3798 4556 3497 27493
1916 1968 1351 2915 1735 2501 2645 3272 2711 2082 3630 3438 4242 32490
1917 2847 3396 3177 1077 1776 1849  836 4763 4194 2884 2767 3171 32737
1918 7553 3268  892 2316 1310 3217  907 1857 1386 2387 3910 3096 32099
1919 1346  325  840  686 2198 1897 2743  109 1131 5232 3973 7462 27942
1920 4016  589 1214 2785  705 1615  405 1910 3668 3022 3669 3673 27271
1921 1236 3168 3890  873 2331 2519 3002  916 4070 2511 3680 1279 29475
1922 3290  931  516 2361 3064 1046 2012 2964 1505 4043 2361 3080 27173
1923 4144 1802 1201 1981 1999 2773 1932 1699 1960 2470 3807 3765 29533
1924 2602 1834 2186 1662 3437 2977 1842 2864 3001 2681 4337 3913 33336
1925 3444 4561 1397 2455 2447 1532 1094  879 2914 3571 4038 4079 32411
1926 3141  339  693 1355 2474 2067 2716 1398 2780 3486 3031 2676 26156
1927 2600  759 2421 2025 2537 2938 2287 2793 2941 3015 2552 3430 30298
1928 3929 1357 2074 1647 1511 1119 2590 1277 1941 4490 3666 2707 28308
1929  888 2202 2414 4720 2964 2146 1657 1768 2502 2212 5329 2145 30947
1930 3276  140 1407 1649 1192 3735 1758 1210 1229 3393 5457 2550 26996
